position,number,driver,ht1,ht2,ht3,ht4,ht5
1,71A,Mosen,10,10,10,,
2,54C,Insley,8,10,9,,
3,10A,Pickens,9,8,10,,
4,5M,Maskovich,9,9,8,,
5,35M,Hodgson,10,9,8,,
6,45C,McClymont,7,10,9,,
7,27M,Morrison,7,8,7,,
8,95K,Morgan,10,6,4,,
9,6M,Williams,9,3,7,,
10,17K,Buckley,6,5,6,,
